time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_len_mean,long_std,rollout/ep_rew_mean,long_mean,return_mean,short_mean,short_std,time/fps,return_std,train/n_updates,train/value_loss,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/loss,train/learning_rate,train/clip_fraction,train/explained_variance
154000,1572,77,2000.0,0.18676886,292.5584415584416,0.0018561182,19.106981,0.12094138,0.06878907,97,2.4819493,760,5.997258479893207,0.2,-1.720235886750743e-05,0.00016345608,-0.1312700554728508,5.123632907867432,1e-05,0.000146484375,0.01646411418914795
156000,1593,78,2000.0,0.18382202,292.97435897435895,0.0014854334,18.374582,0.14246446,0.07710619,97,2.4977906,770,6.038356885313988,0.2,-0.0019879795028828083,0.0018195272,-0.1276600378099829,4.662304878234863,1e-05,0.015771484375,0.021697998046875
158000,1613,79,2000.0,0.18620777,294.62025316455697,0.0017508254,18.560701,0.15174271,0.06997284,97,2.8313441,780,5.929800778254867,0.2,-0.00044298793363850564,0.00057118444,-0.13253550473600625,0.545749843120575,1e-05,0.003125,0.04445236921310425
160000,1634,80,2000.0,0.18778615,295.525,0.0031712756,18.502245,0.18002336,0.050634284,97,2.6359496,790,7.929332927614451,0.2,-0.0009116402361541986,0.00044002885,-0.13408479660283773,2.530116081237793,1e-05,0.001708984375,0.0014125704765319824
162000,1655,81,2000.0,0.18378752,297.037037037037,0.0019539932,18.761665,0.111894816,0.064207636,97,2.4744515,800,6.947028623521328,0.2,-0.0001997314771870151,0.00046585393,-0.13424694852437824,1.6906299591064453,1e-05,0.006494140625,-0.009746313095092773
164000,1675,82,2000.0,0.17571232,298.0609756097561,0.00441648,18.627758,0.14283872,0.10206344,97,2.6189528,810,5.8283525876700875,0.2,-0.00066471315221861,0.00080319913,-0.12823957353830337,2.8005471229553223,1e-05,0.004541015625,0.03418022394180298
166000,1697,83,2000.0,0.18847872,300.1686746987952,0.0032824245,19.243567,0.14154868,0.053078275,97,2.7808936,820,6.568835566937923,0.2,-0.001118592990678735,0.0008474927,-0.13018307460006326,1.877994418144226,1e-05,0.0130859375,0.033058345317840576
168000,1718,84,2000.0,0.18748419,301.4404761904762,0.0019538503,19.2925,0.14786768,0.056453574,97,2.743715,830,7.704012516885996,0.2,-0.0006418653167202138,0.0003777646,-0.11353448166046291,1.2248377799987793,1e-05,0.004248046875,-0.0057822465896606445
170000,1739,85,2000.0,0.18737806,303.3764705882353,0.0032823738,19.759874,0.10128107,0.06803276,97,2.4565907,840,7.312969442456961,0.2,-0.0005494916375027969,0.0004912153,-0.11375397230731324,2.8445544242858887,1e-05,0.0015625,0.020591795444488525
172000,1760,86,2000.0,0.19220807,303.9418604651163,0.0011418214,19.260555,0.13408417,0.12854256,97,2.3977022,850,5.407995507866144,0.2,-0.0003258263721363619,0.0011546611,-0.10156760123791173,2.942382574081421,1e-05,0.00849609375,0.09634172916412354
174000,1781,87,2000.0,0.18700285,305.18390804597703,0.0027137445,19.30567,0.07343172,0.059323188,97,2.6432002,860,5.309378921985626,0.2,-0.0005800776416435838,0.0005029974,-0.12610884148161858,1.9189319610595703,1e-05,0.000732421875,0.072101891040802
176000,1802,88,2000.0,0.18185544,306.1136363636364,0.002188876,19.2212,0.1423345,0.09354585,97,2.6622825,870,6.940891562402248,0.2,-0.0012208125815959647,0.00079096865,-0.12042011676821858,4.093626976013184,1e-05,0.005810546875,-0.004106760025024414
178000,1823,89,2000.0,0.19209957,306.9438202247191,0.0036151225,19.139761,0.16598499,0.08779824,97,2.3970373,880,6.258719647675752,0.2,-0.0008955913945101202,0.0007533373,-0.11684279763139785,2.0185067653656006,1e-05,0.00849609375,0.09414613246917725
180000,1845,90,2000.0,0.17750995,308.81111111111113,0.0026099968,19.692251,0.18165296,0.06691248,97,2.5773284,890,5.709818929061294,0.2,-0.002115810348186642,0.00082303525,-0.10946811842732132,3.4518818855285645,1e-05,0.01865234375,-0.018344640731811523
182000,1866,91,2000.0,0.18548438,309.3956043956044,0.0015507377,19.282766,0.122556455,0.06705579,97,2.53214,900,6.178363490849733,0.2,-0.0007222253829240799,0.00051585084,-0.1185428007505834,1.423966884613037,1e-05,0.006494140625,0.07034420967102051
184000,1887,92,2000.0,0.18070944,310.60869565217394,0.0034603397,19.55699,0.101636425,0.064905,97,2.4062316,910,5.612936902046203,0.2,-0.0012311629994655958,0.0011036855,-0.12260056287050247,3.636237382888794,1e-05,0.014306640625,0.1167420744895935
186000,1909,93,2000.0,0.18384553,312.02150537634407,0.0032765956,19.659842,0.12798275,0.075157516,97,2.5604818,920,5.346343132853508,0.2,-0.00011901014222530648,0.00023484646,-0.11219575868453831,3.771782398223877,1e-05,0.001318359375,0.0731499195098877
188000,1930,94,2000.0,0.1827076,313.36170212765956,0.0039341403,19.973864,0.14631923,0.08501343,97,2.3295922,930,6.188707122951746,0.2,-0.00116107105568517,0.00081141316,-0.09977428778074682,1.705804467201233,1e-05,0.01328125,0.05220001935958862
