time/iterations,long_mean,time/fps,rollout/ep_rew_mean,return_std,long_std,time/time_elapsed,short_std,return_mean,time/total_timesteps,short_mean,rollout/ep_len_mean,train/learning_rate,train/clip_range,train/clip_fraction,train/n_updates,train/approx_kl,train/entropy_loss,train/explained_variance,train/value_loss,train/loss,train/policy_gradient_loss,train/std
79,0.00050272455,236,1579.5675,18.820328,0.015764793,684,0.017454904,146.8405,161792,0.03941246,1000.0,1e-05,0.2,0.03779296875,780,0.00541879,-7.134505765140057,0.28267496824264526,223.92001894712448,44.98781204223633,-0.0033612528291996568,1.0081418752670288
80,0.00050080736,236,1579.6625,19.24883,0.01763148,693,0.015384599,147.08763,163840,0.034502544,1000.0,1e-05,0.2,0.04248046875,790,0.0062043048,-7.136095049977302,0.35046058893203735,227.7354429602623,49.844234466552734,-0.005256521786213853,1.0085190534591675
81,0.00047475856,236,1581.9625,18.76799,0.017406981,701,0.01970298,151.7575,165888,0.038949437,1000.0,1e-05,0.2,0.032421875,800,0.0048803804,-7.136746139824391,0.3885718584060669,221.57715991735458,81.81170654296875,-0.0033964127680519594,1.0083856582641602
82,0.00049499783,236,1587.2525,20.333042,0.015390139,710,0.022248391,153.22319,167936,0.040960915,1000.0,1e-05,0.2,0.03828125,810,0.006284773,-7.136680372059345,0.32884860038757324,233.71239496469497,41.69828796386719,-0.004428187258599792,1.0085245370864868
83,0.00056017644,236,1589.465,19.467642,0.014859809,719,0.017186446,153.39545,169984,0.037791498,1000.0,1e-05,0.2,0.016650390625,820,0.0032953504,-7.1378464013338085,0.42311179637908936,226.6251637160778,181.55194091796875,-0.0026714450694271365,1.0088902711868286
84,0.0007200756,236,1596.895,20.938528,0.01851791,727,0.022054039,148.81232,172032,0.033789262,1000.0,1e-05,0.2,0.0669921875,830,0.007474387,-7.138856762647629,0.32595402002334595,249.1393515229225,22.16568374633789,-0.00620110916934209,1.0088813304901123
85,0.0004039833,236,1598.0225,22.092577,0.015546323,736,0.014023265,150.37845,174080,0.032639466,1000.0,1e-05,0.2,0.02314453125,840,0.003768093,-7.139147898554802,0.2896139621734619,305.43575392961503,265.0799255371094,-0.0027463496080599725,1.0090245008468628
86,0.0005037936,236,1600.37,18.707449,0.016085228,744,0.018273568,148.26532,176128,0.036975637,1000.0,1e-05,0.2,0.017919921875,850,0.004192044,-7.140010726451874,0.5314434170722961,221.59358031749724,190.7571563720703,-0.0031688319824752396,1.0091991424560547
87,0.00044659246,236,1602.925,21.121244,0.017307613,753,0.0177708,146.12213,178176,0.032298885,1000.0,1e-05,0.2,0.0154296875,860,0.003969271,-7.141002574563027,0.2731287479400635,247.1443359553814,237.2847442626953,-0.00353285882883938,1.0094784498214722
88,0.0005488007,236,1605.1275,20.508907,0.018815838,762,0.016193205,151.10703,180224,0.033073343,1000.0,1e-05,0.2,0.056298828125,870,0.008126927,-7.142379957437515,0.4833396077156067,223.60365394949912,65.95896911621094,-0.0046746157386223786,1.0097464323043823
89,0.00039450784,236,1609.4125,19.578856,0.016541049,770,0.012083988,146.62881,182272,0.033590004,1000.0,1e-05,0.2,0.051318359375,880,0.0066008936,-7.1431370913982395,0.42106950283050537,238.8871257543564,45.869842529296875,-0.005118641001172364,1.0097969770431519
90,0.0006601147,236,1612.9675,19.792568,0.017122708,779,0.016632322,154.01465,184320,0.03298823,1000.0,1e-05,0.2,0.023291015625,890,0.00344206,-7.143431475758552,0.3906381130218506,228.6675430238247,115.38215637207031,-0.002376879441726487,1.0097695589065552
91,0.00053365284,236,1617.1,19.086918,0.017433863,787,0.019757273,157.19485,186368,0.038539685,1000.0,1e-05,0.2,0.04462890625,900,0.004636488,-7.143637643754483,0.3530730605125427,248.53800328969956,94.46759796142578,-0.0037458328893990255,1.0099401473999023
92,0.0005589713,236,1620.2725,19.737236,0.017546302,796,0.019619357,153.07883,188416,0.037119485,1000.0,1e-05,0.2,0.046044921875,910,0.0048579164,-7.14470404535532,0.2829025387763977,251.8620862364769,153.68875122070312,-0.005497630982426926,1.0102099180221558
93,0.00052203255,236,1627.88,18.695051,0.013318662,805,0.011555994,160.621,190464,0.038945105,1000.0,1e-05,0.2,0.0123046875,920,0.003604529,-7.14544016122818,0.36671286821365356,243.6333897948265,120.54370880126953,-0.001984260702738538,1.0102417469024658
